City	Title	Artist	Tempo in BPM	Syllables per line	Syllables per word	Syllable Variation	Novel Word Proportion	Rhymes per line	Rhymes per syllable	Rhyme Density	End Pairs Per Line	End Pairs Grown	End Pairs Shrunk	End Pairs Even	Average End Score	Average End Syllable Score	Singles per Rhyme	Doubles per Rhyme	Triples per Rhyme	Quads per Rhyme	Longs per Rhyme	Perfect Rhymes	Line Internals per Line	Links per line	bridges per line	Compounds per line	Chaining per line
Chicago	We Go High -	Chance The Rapper	85	11.8	1.229166667	1.557776193	0.91955193	2.466666667	0.209039548	0.310734463	0.666666667	0.1	0	0.9	5.067268125	2.980745956	0.648648649	0.216216216	0.135135135	0	0	0.081081081	0.866666667	0.4	0.533333333	0.266666667	0.466666667
Chicago	Power	Kanye West	154	12.66666667	1.484375	5.827139569	0.834920635	2	0.157894737	0.284210526	0.6	0.333333333	0.555555556	0.111111111	7.318487748	3.874493514	0.466666667	0.266666667	0.266666667	0	0	0.1	0.466666667	0.266666667	0.666666667	0.2	0.133333333
Chicago	You Ain't Gang	Lil Bibby	149*	13.33333333	1.142857143	1.490711985	0.884877622	2.916666667	0.21875	0.325	0.583333333	0	0.142857143	0.857142857	6.129575929	3.900639227	0.542857143	0.428571429	0.028571429	0	0	0.057142857	0.75	0.75	0.833333333	0.166666667	0
Chicago	Pyramids -	Common	99	12.33333333	1.447826087	3.231786572	0.933122228	2.407407407	0.195195195	0.342342342	0.37037037	0.6	0.3	0.1	4.370938857	2.428299365	0.538461538	0.215384615	0.2	0.046153846	0	0.123076923	0.962962963	0.555555556	0.518518519	0.111111111	0.148148148
Chicago	Pop Out -	Polo G, Lil Tjay	84	13.33333333	1.185185185	1.105541597	0.890166084	1.916666667	0.14375	0.21875	0.916666667	0.181818182	0.090909091	0.727272727	6.947439835	3.821091909	0.47826087	0.52173913	0	0	0	0	0.5	0.166666667	0.333333333	0.083333333	0.25
Chicago	I Don't Like -	Chief Keef, Lil Reese	132	10.58333333	1.282828283	1.187317237	0.89537037	2.083333333	0.196850394	0.212598425	0.833333333	0.2	0.2	0.6	4.103552453	4.103552453	0.92	0.08	0	0	0	0.32	0.416666667	0.333333333	0.5	0.083333333	0.166666667
Chicago	Neighborhood Hero -	Lil Durk	90	11.94117647	1.245398773	2.732604623	0.890406326	2.235294118	0.187192118	0.334975369	0.764705882	0.461538462	0.076923077	0.461538462	6.424899431	3.093470096	0.342105263	0.578947368	0.052631579	0	0.026315789	0.026315789	0.529411765	0.235294118	0.705882353	0.058823529	0
Chicago	Haile Selassi -	Lupe Fiaso, Nikki Jean	112	9.941176471	1.173611111	2.127428391	0.744380946	2.117647059	0.213017751	0.449704142	0.294117647	0.2	0.4	0.4	3.695371496	3.695371496	0.444444444	0.277777778	0.111111111	0.111111111	0.055555556	0.25	0.529411765	0.470588235	0.823529412	0	0
Chicago	Love Sosa -	Chief Keef	132	6.166666667	1.213114754	0.471404521	0.840277778	1.041666667	0.168918919	0.243243243	0.666666667	0	0	1	7.804687302	4.802884494	0.6	0.36	0.04	0	0	0.28	0.083333333	0.25	0.041666667	0	0
L.A.	Stop Cappin -	Blueface	104	11.625	1.309859155	1.798436821	0.915349928	1.75	0.150537634	0.247311828	0.5625	0.222222222	0	0.777777778	5.21865437	2.935493083	0.464285714	0.428571429	0.107142857	0	0	0.071428571	0.5625	0.1875	0.4375	0.3125	0.375
L.A.	HUMBLE -	Kendrick Lamar	150	12.41176471	1.271084337	2.766582592	0.885962567	2.235294118	0.180094787	0.308056872	0.823529412	0.214285714	0.214285714	0.571428571	5.400073945	3.287001532	0.526315789	0.263157895	0.184210526	0.026315789	0	0.105263158	0.588235294	0.176470588	0.647058824	0.176470588	0.117647059
L.A.	West Side	The Game	84	12.6875	1.380952381	2.171369096	0.917791757	2.0625	0.162561576	0.24137931	0.375	0.5	0.333333333	0.166666667	3.866797382	3.314397756	0.636363636	0.242424242	0.121212121	0	0	0.090909091	0.6875	0.375	0.625	0.125	0.1875
L.A.	Collard Greens -	Schoolboy Q, Kendrick Lamar	154	10.58823529	1.313868613	2.426782511	0.937192056	2.352941176	0.222222222	0.377777778	0.470588235	0.25	0.125	0.625	4.86717789	2.995186394	0.525	0.375	0.025	0.05	0.025	0.075	1	0.294117647	0.588235294	0.117647059	0.588235294
L.A.	Arrest The President-	Ice Cube	95	8.65	1.262773723	1.768473918	0.936066017	2.15	0.248554913	0.369942197	0.55	0.181818182	0.272727273	0.545454545	6.181830787	4.000008156	0.604651163	0.325581395	0.046511628	0.023255814	0	0.046511628	0.8	0.35	0.45	0.1	0.25
