"","NoteValue","Stress","Rest","Lyrics","Break","Rhythm","OTL","COM","ARE","Bar","Position"
"1.120","8.","1",".","bo-",".",0.1875,"BodakYellow","CardiB","New York","15",0.4375
"1.121","16","0",".","-ther",".",0.0625,"BodakYellow","CardiB","New York","15",0.5
"1.122","4","1",".","me",".",0.25,"BodakYellow","CardiB","New York","15",0.75
"1.123","8","1",".","They","3",0.125,"BodakYellow","CardiB","New York","15",0.875
"1.124","8","0",".","see",".",0.125,"BodakYellow","CardiB","New York","15",0
"1.126","8","1",".","pic-",".",0.125,"BodakYellow","CardiB","New York","16",0.125
"1.127","8","0",".","-tures",".",0.125,"BodakYellow","CardiB","New York","16",0.25
"1.128","8","1",".","they","3",0.125,"BodakYellow","CardiB","New York","16",0.375
"1.129","8","0",".","say",".",0.125,"BodakYellow","CardiB","New York","16",0.5
"1.130","4","1",".","Goals",".",0.25,"BodakYellow","CardiB","New York","16",0.75
"1.131","8","1",".","bitch","3",0.125,"BodakYellow","CardiB","New York","16",0.875
"1.132","8","0",".","I'm",".",0.125,"BodakYellow","CardiB","New York","16",0
"1.134","8","1",".","who",".",0.125,"BodakYellow","CardiB","New York","17",0.125
"1.135","8","0",".","they",".",0.125,"BodakYellow","CardiB","New York","17",0.25
"1.136","8.","1",".","try-",".",0.1875,"BodakYellow","CardiB","New York","17",0.4375
"1.137","16","0",".","-na",".",0.0625,"BodakYellow","CardiB","New York","17",0.5
"1.138","8","1",".","be",".",0.125,"BodakYellow","CardiB","New York","17",0.625
"1.139","8",".","R",".",".",0.125,"BodakYellow","CardiB","New York","17",0.75
"1.140","4","0",".","Look","4",0.25,"BodakYellow","CardiB","New York","17",0
"1.142","12","1",".","I","3",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.0833333333333321
"1.143","12","0",".","might",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.166666666666668
"1.144","12","0",".","just",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.25
"1.145","12","1",".","chill",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.333333333333332
"1.146","12","0",".","in",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.416666666666668
"1.147","12","0",".","some",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.5
"1.148","4","1",".","BAPE",".",0.25,"BodakYellow","CardiB","New York","18",0.75
"1.149","12","1",".","I","3",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.833333333333332
"1.150","12","0",".","might",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0.916666666666668
"1.151","12","0",".","just",".",0.0833333333333333,"BodakYellow","CardiB","New York","18",0
"1.153","12","1",".","chill",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.0833333333333321
"1.154","12","0",".","with",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.166666666666668
"1.155","12","0",".","your",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.25
"1.156","4","1",".","boo",".",0.25,"BodakYellow","CardiB","New York","19",0.5
"1.157","12","1",".","I","3",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.583333333333332
"1.158","12","0",".","might",".",0.0833333333333333,"BodakYellow","CardiB","New York","19",0.666666666666668
